name,category,code
Integral,Math,∫
Double Integral,Math,∬
Triple Integral,Math,∭
Contour Integral,Math,∮
Surface Integral,Math,∯
Volume Integral,Math,∰
Clockwise Integral,Math,∱
Clockwise Contour Integral,Math,∲
Anticlockwise Contour Integral,Math,∳
Therefore,Math,∴
Because,Math,∵
Ratio,Math,∶
Proportion,Math,∷
Dot Minus,Math,∸
Excess,Math,∹
Geometric Proportion,Math,∺
Homothetic,Math,∻
Tilde Operator,Math,∼
Reversed Tilde,Math,∽
Inverted Lazy S,Math,∾
Sine Wave,Math,∿
Wreath Product,Math,≀
Not Tilde,Math,≁
Minus Tilde,Math,≂
Asymptotically Equal To,Math,≃
Not Asymptotically Equal To,Math,≄
Approximately Equal To,Math,≅
Approximately but Not Actually Equal To,Math,≆
Neither Approximately Nor Actually Equal To,Math,≇
Almost Equal To,Math,≈
Not Almost Equal To,Math,≉
Almost Equal or Equal To,Math,≊
Triple Tilde,Math,≋
All Equal To,Math,≌
Equivalent To,Math,≍
Geometrically Equivalent To,Math,≎
Difference Between,Math,≏
Approaches the Limit,Math,≐
Geometrically Equal To,Math,≑
Approximately Equal to or the Image Of,Math,≒
Image of or Approximately Equal To,Math,≓
Colon Equals,Math,≔
Equals Colon,Math,≕
Ring in Equal To,Math,≖
Ring Equal To,Math,≗
Corresponds To,Math,≘
Estimates,Math,≙
Equiangular To,Math,≚
Star Equals,Math,≛
Delta Equal To,Math,≜
Equal to by Definition,Math,≝
Measured By,Math,≞
Questioned Equal To,Math,≟
Identical To,Math,≡
Not Identical To,Math,≢
Strictly Equivalent To,Math,≣
Less-Than or Equal To,Math,≤
Greater-Than or Equal To,Math,≥
Less-Than Over Equal To,Math,≦
Greater-Than Over Equal To,Math,≧
Less-Than but Not Equal To,Math,≨
Greater-Than but Not Equal To,Math,≩
Much Less-Than,Math,≪
Much Greater-Than,Math,≫
Between,Math,≬
Not Equivalent To,Math,≭
Not Less-Than,Math,≮
Not Greater-Than,Math,≯
Neither Less-Than Nor Equal To,Math,≰
Neither Greater-Than Nor Equal To,Math,≱
Less-Than or Equivalent To,Math,≲
Greater-Than or Equivalent To,Math,≳
Neither Less-Than Nor Equivalent To,Math,≴
Neither Greater-Than Nor Equivalent To,Math,≵
Less-Than or Greater-Than,Math,≶
Greater-Than or Less-Than,Math,≷
Neither Less-Than Nor Greater-Than,Math,≸
Neither Greater-Than Nor Less-Than,Math,≹
Precedes,Math,≺
Succeeds,Math,≻
Precedes or Equal To,Math,≼
Succeeds or Equal To,Math,≽
Precedes or Equivalent To,Math,≾
Succeeds or Equivalent To,Math,≿
Does Not Precede,Math,⊀
Does Not Succeed,Math,⊁
Subset Of,Math,⊂
Superset Of,Math,⊃
Not a Subset Of,Math,⊄
Not a Superset Of,Math,⊅
Subset of or Equal To,Math,⊆
Superset of or Equal To,Math,⊇
Neither a Subset of Nor Equal To,Math,⊈
Neither a Superset of Nor Equal To,Math,⊉
Subset of With Not Equal To,Math,⊊
Superset of With Not Equal To,Math,⊋
Multiset,Math,⊌
Multiset Multiplication,Math,⊍
Multiset Union,Math,⊎
Square Image Of,Math,⊏
Square Original Of,Math,⊐
Square Image of or Equal To,Math,⊑
Square Original of or Equal To,Math,⊒
Square Cap,Math,⊓
Square Cup,Math,⊔
Circled Plus,Math,⊕
Circled Minus,Math,⊖
Circled Times,Math,⊗
Circled Division Slash,Math,⊘
Circled Dot Operator,Math,⊙
Circled Ring Operator,Math,⊚
Circled Asterisk Operator,Math,⊛
Circled Equals,Math,⊜
Circled Dash,Math,⊝
Squared Plus,Math,⊞
Squared Minus,Math,⊟
Squared Times,Math,⊠
Squared Dot Operator,Math,⊡
Right Tack,Math,⊢
Left Tack,Math,⊣
Down Tack,Math,⊤
Up Tack,Math,⊥
Assertion,Math,⊦
Models,Math,⊧
TRUE,Math,⊨
Forces,Math,⊩
Triple Vertical Bar Right Turnstile,Math,⊪
Double Vertical Bar Double Right Turnstile,Math,⊫
Does Not Prove,Math,⊬
Not True,Math,⊭
Does Not Force,Math,⊮
Negated Double Vertical Bar Double Right Turnstile,Math,⊯
Precedes Under Relation,Math,⊰
Succeeds Under Relation,Math,⊱
Normal Subgroup Of,Math,⊲
Contains as Normal Subgroup,Math,⊳
Normal Subgroup of or Equal To,Math,⊴
Contains as Normal Subgroup or Equal To,Math,⊵
Original Of,Math,⊶
Image Of,Math,⊷
Multimap,Math,⊸
Hermitian Conjugate Matrix,Math,⊹
Intercalate,Math,⊺
Xor,Math,⊻
Nand,Math,⊼
Nor,Math,⊽
Right Angle With Arc,Math,⊾
Right Triangle,Math,⊿
N-Ary Logical And,Math,⋀
N-Ary Logical Or,Math,⋁
N-Ary Intersection,Math,⋂
N-Ary Union,Math,⋃
Diamond Operator,Math,⋄
Dot Operator,Math,⋅
Star Operator,Math,⋆
Division Times,Math,⋇
Bowtie,Math,⋈
Left Normal Factor Semidirect Product,Math,⋉
Right Normal Factor Semidirect Product,Math,⋊
Left Semidirect Product,Math,⋋
Right Semidirect Product,Math,⋌
Reversed Tilde Equals,Math,⋍
Curly Logical Or,Math,⋎
Curly Logical And,Math,⋏
Double Subset,Math,⋐
Double Superset,Math,⋑
Double Intersection,Math,⋒
Double Union,Math,⋓
Pitchfork,Math,⋔
Equal and Parallel To,Math,⋕
Less-Than With Dot,Math,⋖
Greater-Than With Dot,Math,⋗
Very Much Less-Than,Math,⋘
Very Much Greater-Than,Math,⋙
Less-Than Equal to or Greater-Than,Math,⋚
Greater-Than Equal to or Less-Than,Math,⋛
Equal to or Precedes,Math,⋞
Equal to or Succeeds,Math,⋟
Does Not Precede or Equal,Math,⋠
Does Not Succeed or Equal,Math,⋡
Not Square Image of or Equal To,Math,⋢
Not Square Original of or Equal To,Math,⋣
Square Image of or Not Equal To,Math,⋤
Square Original of or Not Equal To,Math,⋥
Less-Than but Not Equivalent To,Math,⋦
Greater-Than but Not Equivalent To,Math,⋧
Precedes but Not Equivalent To,Math,⋨
Succeeds but Not Equivalent To,Math,⋩
Not Normal Subgroup Of,Math,⋪
Does Not Contain as Normal Subgroup,Math,⋫
Not Normal Subgroup of or Equal To,Math,⋬
Does Not Contain as Normal Subgroup or Equal,Math,⋭
Vertical Ellipsis,Math,⋮
Midline Horizontal Ellipsis,Math,⋯
Up Right Diagonal Ellipsis,Math,⋰
Down Right Diagonal Ellipsis,Math,⋱
Element of With Long Horizontal Stroke,Math,⋲
Element of With Vertical Bar at End of Horizontal Stroke,Math,⋳
Small Element of With Vertical Bar at End of Horizontal Stroke,Math,⋴
Element of With Dot Above,Math,⋵
Element of With Overbar,Math,⋶
Small Element of With Overbar,Math,⋷
Element of With Underbar,Math,⋸
Element of With Two Horizontal Strokes,Math,⋹
Contains With Long Horizontal Stroke,Math,⋺
Contains With Vertical Bar at End of Horizontal Stroke,Math,⋻
Small Contains With Vertical Bar at End of Horizontal Stroke,Math,⋼
Contains With Overbar,Math,⋽
Small Contains With Overbar,Math,⋾
Z Notation Bag Membership,Math,⋿
Superscript Zero,Math,⁰
Superscript Latin Small Letter I,Math,ⁱ
Superscript Four,Math,⁴
Superscript Five,Math,⁵
Superscript Six,Math,⁶
Superscript Seven,Math,⁷
Superscript Eight,Math,⁸
Superscript Nine,Math,⁹
Superscript Plus Sign,Math,⁺
Superscript Minus,Math,⁻
Superscript Equals Sign,Math,⁼
Superscript Left Parenthesis,Math,⁽
Superscript Right Parenthesis,Math,⁾
Superscript Latin Small Letter N,Math,ⁿ
Subscript Zero,Math,₀
Subscript One,Math,₁
Subscript Two,Math,₂
Subscript Three,Math,₃
Subscript Four,Math,₄
Subscript Five,Math,₅
Subscript Six,Math,₆
Subscript Seven,Math,₇
Subscript Eight,Math,₈
Subscript Nine,Math,₉
Subscript Plus Sign,Math,₊
Subscript Minus,Math,₋
Subscript Equals Sign,Math,₌
Subscript Left Parenthesis,Math,₍
Subscript Right Parenthesis,Math,₎
Latin Subscript Small Letter A,Math,ₐ
Latin Subscript Small Letter E,Math,ₑ
Latin Subscript Small Letter O,Math,ₒ
Latin Subscript Small Letter X,Math,ₓ
Latin Subscript Small Letter Schwa,Math,ₔ
